stem,snippet_id,compound,class,dose,route,administered,context
aboharb2025,0,MDMA,psychedelic,7.8 mg/kg,i.p.,True,"single dose), 3,4-methylenedioxy methamphetamine (MDMA, 7.8mg/kg, i.p., single dose), acute /uniFB02 uoxetine (A-SSRI, 1"
aboharb2025,0,fluoxetine,comparator,1 mg/kg,i.p.,True,"single dose), 3,4-methylenedioxy methamphetamine (MDMA, 7.8mg/kg, i.p., single dose), acute /uniFB02 uoxetine (A-SSRI, 1"
aboharb2025,1,fluoxetine,comparator,10 mg/kg,i.p.,True,".p.),4malesand4femalesforacute /uniFB02 uoxetine (10 mg/kg, i.p.), 4 males and 4 females for chronic /uniFB02 uoxetine ("
aboharb2025,2,MDMA,psychedelic,7.8 mg/kg,,False,"lassic serotonergic psychedelic 70 . MDMA holds clinical relevance, particularly for PTSD 14,15 . We selected a dose of "
aboharb2025,3,fluoxetine,comparator,10 mg/kg,,False,"ybin and ketamine. For these reasons, we included acute and chronic /uniFB02 uoxetine in this study. We chose a dose of "
aboharb2025,4,fluoxetine,comparator,10 mg/kg,i.p.,True,"10 mg/kg, i.p.; daily for 14 days). The third batch performed in December 2022 included 4 males and 4 females for MDMA ("
aboharb2025,4,MDMA,psychedelic,7.8 mg/kg,i.p.,True,"10 mg/kg, i.p.; daily for 14 days). The third batch performed in December 2022 included 4 males and 4 females for MDMA ("
aboharb2025,5,MDMA,psychedelic,7.8 mg/kg,i.p.,True,"rmed in December 2022 included 4 males and 4 females for MDMA (7.8 mg/kg, i.p.) and 2 males and 2 females for ketamine ("
aboharb2025,5,ketamine,anesthetic_or_analgesic,10 mg/kg,,True,"rmed in December 2022 included 4 males and 4 females for MDMA (7.8 mg/kg, i.p.) and 2 males and 2 females for ketamine ("
aboharb2025,6,ketamine,anesthetic_or_analgesic,10 mg/kg,i.p.,True,"e (KET, 10 mg/kg, i.p., single dose),  5 /uni2010 methoxy /uni2010 N,N /uni2010 dimethyltryptamine (5-MeO-DMT or 5-MEO, "
