study_id,age_band,age_min_days,age_max_days,evidence
aboharb2025,adolescent,56,56,"## Methods  ## Animals  We used adult, 8-week-old male and female C57BL/6 J mice (#00064,"
adams2022,adult,90,120,# 4.9.1. Subjects  A total of 22 adult (PND 90 -120) male Long Evans rats (Charles River La
afrooghe2025,adolescent,35,42,"Medical Research Institute (NMRI) mice aged 5-6 weeks (outbred, mean age: 5.5) with weights r"
agrawal2025,young_adult,49,63,"were used ( N = 10 per treatment group aged 7 -9 weeks). Upon receipt, rats were assigned uniq"
allen2026,adolescent,42,42,ry  Female Sprague-Dawley rats (N = 96) aged 6 weeks were purchased form the Alfred Medical
almeida2022,adolescent,42,49,als  Seventy-two adult male Swiss mice (6 -7 weeks-old) were housed in polypropylene cages (26
alper2018,adult,70,126,"conducted in adult male C57BL/6J mice (10-18 weeks old; Jackson Laboratory, United States). Mi"
alper2023,adult,60,90,lf-reported abstinence from alcohol use at 2 -3 months following the administration of single d
alvarenga2014,not_reported,,,
amodeo2020,young_adult,63,70,"sruptive effects.  Male C57BL/6 J mice, 9-10 weeks old, were purchased from JAX labs (Bar Harb"
anderson2025,adult,,,"qualitative: al period for social reward learning in adult mice (Nardou et al., 2023). These behavioral"
ascone2026,adolescent,44,44,"o weeks, from postnatal day (PND) 34 to PND 44. Animals were tested in the NOR test /u"
bassi2024,aged,450,450,-28.png  a High clearance by cytochrome P450 1A2 (CYP1A2); b high clearance by cytoc
bazovkina2015,not_reported,,,
ben-tal2025,not_reported,,,
benvenuti2023,not_reported,,,
bilel2025,adolescent,,,qualitative: and toxicological studies in female and adolescent mice can improve risk assessment and awarene
bonilla2024,young_adult,50,60,ical Campus. Subjects were age-matched (P50-60 on arrival) male and female Wistar rats
bostancıklıoğlu2026,young_adult,70,84,Animals  This study utilized 210 adult (10-12 weeks old) male WistarAlbino  rats  sourced  from
bouloufa2025,adult,,,"qualitative: uring states of fear or stress [75]. In adult rats, 22 kHz USVs occur during fear-like pos"
brandt2016,adolescent,42,56,nimal pharmacology  Male C57BL/6J mice (6-8 weeks old) were obtained from Jackson Laboratorie
brandt2017,not_reported,,,
brandt2018,not_reported,,,
brandt2019,not_reported,,,
brengel2025,adult,270,270,clei 66 . Both male 626 and female rats 9 months of age show a significant decrease in BDNF in
brockett2024,adult,150,210,"ackson Laboratory; Stock No. 024275), 1.5 -7 mo old. Note that this is a GCaMP6 mouse line"
brouns2024,not_reported,,,
brownstien2025,adolescent,49,56,"gous male  with heterozygous females at age 7 -8 weeks, yielding offspring in the proportions"
bruno2025,adolescent,35,35,"statement  C57Bl/6 male mice ( n = 93), 5-week-old (20-25 g), were obtained from the anima"
brys2023,adult,180,360,"Sprague-Dawley rats (8 females, 1 male, 6-12 months old; Taconic, Denmark) were used in this st"
bryson2024,juvenile,7,7,"rmation  picture-5.png  immobility time at 1 week compared with vehicle ( P < 0.001), conf"
bréant2026,adult,63,105,"ry  Adult male C57BL/6 J mice ( n = 42, 9 to 15 weeks old) were kept singly housed in individual"
buchborn2014,not_reported,,,
butler2025,young_adult,77,77,umber of animals used in the study.  9 -11-week-old male C57BL6/J mice weighing 21.8 -27.4
buzzelli2023,juvenile,1,1,"on that day (postnatal day, PND 0). On PND 1, the litters were culled to eight anima"
bysiek2025,not_reported,,,
cameron2018,adult,98,98,All experiments were performed on 8- to 14-week-old male rats. Studies were performed durin
cameron2019,adolescent,56,56,he experiments began when the rats were 8 weeks of age. Lights in the vivarium were turned on
cao2022,not_reported,,,
carbonaro2015,not_reported,,,
castronin2024,adult,,,qualitative: ental animals  Nine Sprague Dawley male adult rats were maintained on a 12-h light/dark cy
chen2020,mixed,540,540,"coronal  section  of App NL-G-F mouse  at  18months of age. Of these plaques, 98% have a diameter"
chen2023,not_reported,,,
chiu2014,not_reported,,,
chiu2023,juvenile,14,14,"a) in a 5 ml/kg volume from p39 to p42. At 14 days post injection (14 dpi), mice were eutha"
colaço2020,adolescent,35,35,"ity of São Paulo, Brazil. The rats were 5 weeks old, and uniform in weight (180 ± 15 g male"
colognesi2026,not_reported,,,
conn2024,adolescent,49,49,(total n = 168) that commenced training at 7 weeks of age (see Supplementary Table 1 for details)
correanetto2017,adult,231,273,"de Letras Edic ¸ ões e Livraria; 2004. p 231 -273. - 11. Labate BC, Feeney K. Ayahuasca a"
couch2015,not_reported,,,
courtney2026,juvenile,8,8,"( Fig. S1A-D ). Brains were examined at postnatal day 8 (P8), when          | |   191 | laminar"
cunningham2023,adult,270,360,". 29 Here, in a pilot study, we treated 9 -12 months old Aux KO mice with ( R )-Ariadne (10 mg/k"
custodio2025,adolescent,42,42,"tested. In our study, we have utilized 6-weekold mice whereas they have utilized 8-20-we"
cyrano2025,not_reported,,,
daldegan-bueno2022,young_adult,84,84,"es  ## 2.1. Subjects  Male Wistar rats, 12 weeks old (300 -350 g) were provided by the Centr"
davoudian2023,adult,42,140,"ere excluded from data analysis. Adult, 6 to 20 week old cfos GFP mice 45,46 [B6.Cg-Tg(Fos-tTA,F"
de camargo2025,not_reported,,,
de la fuente revenga2021,adult,70,140,S  Experiments were performed on adult (10 - 20 weeks old) male mice randomly allocated into the
de sousa-silva2026,juvenile,8,8,"novelty-suppressed  feeding behavior, at 8 days after drug administration, neither DMT n"
dean2019,adult,60,150,"Materials and Methods  Animals. Adult (2-5 months of age) male Wistar rats (Harlan Laboratories,"
delafuenterevenga2022,adult,56,140,.  ## /uni25A0 METHODS  Animals. Adult (8 -20 weeks old) C57BL/6 male mice (Jackson Laboratory)
dere2015,not_reported,,,
desouza2021,adult,,,qualitative: y-Associated Genes in the  Neocortex of Adult Rats  Given that we observed that the 5-HT2A
do nascimento sousa2025,adolescent,28,35,"le  Wistar  rats  (Rattus  norvegicus), aged 4 to 5 weeks and weighing an average of 190 g, were"
domenico2021,adult,270,270,hree male Long-Evans rats between 4 and 9 months of age were used in this study. Each rat was i
domżalska2025,not_reported,,,
du2023,juvenile,7,7,"t  of  a  single  dose  of  psilocybin  at  7  days  after administration. Surprisingly, we f"
duartefilho2022,adolescent,42,56,"us ), weighing between 30 and 40 g with 6-8 weeks of age, were housed in polyethylene cages vent"
effinger2024,adolescent,56,56,Male and female Sprague Dawley rats (~8 weeks old) were injected with vehicle or psilocin
egger2023,not_reported,,,
elmore2018,adolescent,50,50,"measured, Ymax is the maximal response, P50 is the IC50 (the concentration that yie"
elsila2020,adult,266,287,"rom Charles River, Wilmington, MA, USA) aged 38 -41 weeks at the time of the experiment were test"
elsila2022,adolescent,56,56,"t drinking  Ethanol. The mice ( n = 30, aged 8 weeks) were habituated for the reversed light"
erkizia-santamaria2022,adolescent,56,56,nimals  Adult  male  C57BL/6  J  mice  (8  weeks  old)  were  purchased  from Envigo (Barcelo
erkizia-santamaría2025,adolescent,56,56,"HODS Animals  Adult male C57BL/6J mice (8 weeks old) were purchased from Envigo (Barcelona,"
eshleman2014,adolescent,56,56,"Indianapolis, IN, USA) at approximately 8 weeks of age and tested at approximately 10 weeks of"
estrada-sánchez2023,adult,120,180,vB/N background male mice (n = 22) from 4 to 6 months old were housed in the Psychology building
fadahunsi2022,adolescent,56,56,"hed from a chow diet to a high-fat diet at 8 weeks of age (D12331; Research Diets, New Brunswick,"
fantegrossi2015,not_reported,,,
farinhaferreira2025,juvenile,21,21,"atories) arrived at the animal facility at 3 weeks of age, and were housed in same-sex groups of"
favaro2015,not_reported,,,
feng2015,not_reported,,,
ferreira2025,adolescent,42,42,a  tenuiflora . Female Swiss  mice  of  6 weeks  old  were  used  in  this  study.  the  ani
ferri2023,adolescent,56,56,ale Wistar rats weighing 230 -280 g (7 -8-weekold) from the Central Animal Facility of th
fink2015,juvenile,2,3,"HT2AR density in whole frontal cortex . At 2 to 3 days following behavioral testing, rats ( n ="
fiorillo2026,young_adult,56,70,d by genotyping tail snips. Only adult (8-10 weeks of age) male mice were used to establish found
fisher2024,adolescent,42,42,e Sprague-Dawley rats ( n = 22) arrived at 6 weeks of age and were  allowed to acclimate to the r
flanagan2021,adolescent,42,56,als used in these studies were male and 6 -8 weeks of age on arrival with a body weight of 170 -2
fletcher2017,not_reported,,,
fletcher2024,adolescent,42,42,"ds  ## 2.1. Subjects  Male DBA/2J mice, aged 6 weeks at the time of purchase, were obtained"
fleury2026,adult,90,270,avioral testing. Mice were between ages 3-9 months old at time of testing.  ## Drugs and treat
floris2025,adolescent,56,56,"wley rats (Charles River Laboratories), aged 8 weeks on arrival, were used in this study. Ra"
fricke2021,not_reported,,,
garcía-cabrerizo2025,adolescent,35,41,# II. Antidepressant-like responses  ## PND 35-41 (once daily; 2 mllkg)  Fig. 1. Experime
gattuso2025,juvenile,8,8,as grooming behaviour was still reduced at 8 days following injection and this was our las
gattuso20251,adult,90,120,eekly during the light cycle. Mice were 3 -4 months of age during the experimental protocol. All a
gergs2024,not_reported,,,
ghofrani-jahromi2024,young_adult,56,63,"tudy, 108 male Wistar rats (180 -200 g, 8 -9 weeks old) were used. The rats were housed six pe"
gianfratti2022,adult,90,90,"# 2.5. Animals  Male Swiss albino mice (3 months old, weighting 30 -50g), obtained either fr"
glatfelter2022,adolescent,35,42,"ackson Laboratory (Bar Harbor, ME, USA) at 5 -6 weeks of age and allowed at least 1 -2 weeks to accl"
glatfelter2023,not_reported,,,
glatfelter2024,not_reported,,,
glynos2026,adult,,,"qualitative: 5, 3.75, 7.5 mg/ kg) in male and female adult rats. All three doses of DMT produced head t"
golden2022,not_reported,,,
gonzalez2021,adult,,,qualitative: Experimental Animals. Six Wistar male adult rats were maintained on a 12-h light/dark cy
gonzález2018,adult,,,qualitative: bling.  ## Experimental Animals  Wistar adult rats were maintained on a 12-h light/dark cy
goulart da silva2022,adult,90,90,"mg/kg/mL). Eighty animals, male, about 90 days old, were divided into control and LPS grou"
gregorio2021,young_adult,56,84,"ale mice and their control littermates (8 to 12 wk old, weighing 25 to 30 g) were used. Male S"
gregorio2022,young_adult,56,84,"ERIALS AND METHODS  C57BL/6N male mice (8 -12 weeks old, weighing 25 -30 g, Charles River, Queb"
gregory2025,not_reported,,,
gregory2026,not_reported,,,
gunten2025,juvenile,21,21,GAD67-GFP knock-in mice (heterozygous; P21-P65) produced by the Tamamaki laborator
habelt2024,adult,180,180,"All rats were in an advanced adult age >PND180, with animals in the control group rang"
hagsäter2021,young_adult,63,70,plus maze (EPM) study. The animals were 9-10 weeks of age on arrival and habituated to human cont
halberstadt2016,not_reported,,,
halberstadt2019,adolescent,42,56,ETHODS  ## Animals  Male C57BL/6J mice (6-8 weeks old) obtained from Jackson Laboratories (Ba
halberstadt2020,adolescent,42,56,laboratory animals. Male C57BL/6J mice (6-8 weeks old) obtained from Jackson Laboratories (Ba
hammo2025,young_adult,60,60,"protocol number: 807237. C57BL/6J mice at 2 months of age, using both sexes, were used for behavi"
harari2024,young_adult,56,70,AL MODEL AND STUDY PARTICIPANT DETAILS  8-10 weeks old C57BL/6J male mice (supplied by Invigo
harari2025,not_reported,,,
hatzipantelis2025,adult,180,180,". All animals tested were between 2 and 6 months of age, closely age-matched between sexes and"
havel2024,not_reported,,,
hazama2014,young_adult,63,63,"experiments were conducted with naıve 8-9-weekold male mice, group-housed (4-5 per cage)"
henriques2021,not_reported,,,
hernandezleon2024,not_reported,,,
hesselgrave2021,adolescent,56,56,by ketanserin.  ## Results  We exposed 8-wk-old male C57BL/6J mice to a chronic multimo
hibicke2020,adolescent,50,56,mined in future studies.  Male WKY rats aged 50 -56 days were obtained from Charles River and al
hibicke2023,adult,82,86,"D 52), OPS was evaluated on days 51-55 (PND 82-86), forced swim behavior was evaluated on"
higgins2021,not_reported,,,
higgins2025,not_reported,,,
hill2025,adolescent,56,56,"igo (Indianapolis, IN) at approximately 8 weeks of age and tested  at approximately 10 weeks o"
hinchcliffe2024,not_reported,,,
horrocks2025,adult,140,140,"time of the recordings, three mice were 20 wk old and one mouse was 28 wk old. Two additi"
huang2022,aged,720,960,"roughout their lifetime, until at least 24-32 months of age (36), when they can weigh over 1 kg (37"
inserra2021,not_reported,,,
inserra2023,young_adult,60,70,"anada) (n = 53) specific pathogen-free, aged 60 -70 days, weighing 25 -30 g, were bred in-house"
iorgu2024,young_adult,84,84,hods  Experiments  were  performed  in  12-week-old  female Sprague-Dawley rats (Charles Ri
ivan2024,adult,330,330,AND MATERIALS  ## Animals  Adult (9- to 11-month-old) Thy1-GCaMP6m mice ( N =8;3 female/5 ma
jacobs2024,young_adult,63,63,"he start of experiments, animals were > postnatal day 63. All experimental procedures were appro"
jeanblanc2024,not_reported,,,
jefferson2023,juvenile,,,qualitative: involved putting a male-female pair of juvenile mice into a cylindrical recording chamber (6
jefsen2019,not_reported,,,
jensen2020,adolescent,42,56,nimals and housing  Male C57BL/6J mice (6-8 weeks old) were obtained from Jackson Labs (Bar H
jin2020,juvenile,2,5,"nylamine and ethyl chloroformate. Under P2O5 and methanesulfonic acid conditions, in"
jones2020,juvenile,7,7,following  oral corticosterone exposure at 7 days after psilocybin treatment. C) Latency t
jones2023,juvenile,7,7,in's anxiolytic-like e/ffects persisted at 7 days following administration. The long-term
kandhwal2025,not_reported,,,
karaki2014,juvenile,17,17,iated cells from the cerebral cortex of 17 day-old Swiss mouse embryos were plated on 6- o
kato2025,not_reported,,,
kelly2024,not_reported,,,
kiilerich2023,not_reported,,,
kimmey2022,adult,56,112,"s  Adult male, wild-type C57Bl/6J mice (8 -16 weeks of age, The Jackson Laboratory) were used in a"
kleditzsch2025,adult,60,90,"ght cycle, between 9 AM and 3 PM, using 2-3 month old mice. An acclimatisation of at least 30"
klein2021,adolescent,42,56,■ METHODS  Animals. Male C57BL/6J mice (6 -8 weeks old) obtained from Jackson Laboratories (Ba
kolaczynska2021,not_reported,,,
kolasa2024,juvenile,21,21,"tion became statistically  significant  at  21  days  post-administration,  but was not eviden"
kolbman2023,not_reported,,,
koseli2025,young_adult,84,84,on C57BL/6 J adult female and male mice 12 weeks old purchased from The Jackson Laboratory (
koutrouli2026,adolescent,42,42,"rats ( n = 40; 160-180 g, approximately 6 weeks old) were obtained from VELAZ (Prague, Czec"
kościuk2026,not_reported,,,
kramer2026,adolescent,35,35,0.05). Behavioral effects were measured at 5 weeks and 12 weeks post administration. No dec
krupp2024,adult,180,180,"ired male breeder Hsd:ICR (CD1, average age 6 months, weighing 40 -50 g) mice (Envigo) were"
kulikova2018,adult,60,90,"ied out on SPF-state adult mouse males (2-3 months old, weighing 26 ± 2 g) of the C57Bl/6j str"
kyzar2016,aged,360,720,The present study used 28 adult male (12-24 months old) Sert + / + and Sert + / -mice on a C57
lauria2024,adult,90,180,"iss and C57BL/6 mice ( Mus musculus ),  aged  3 -6 months, weighing 20 -25 g were obtained from t"
lazar2025,adult,70,91,"s of juvenile SAPAP3 knockout (KO) mice aged 10-13 weeks, an established preclinical model of OC"
lee2014,not_reported,,,
lee2020,adult,,,qualitative: mpairments  and  social withdrawal  in  adult  mice.  The  present  study  further  reveale
lerer2024,young_adult,84,84,s  Experiments were performed on adult (12 weeks old) C57BL/6J male mice. Comparisons were m
lewis2023,adolescent,42,56,"erating procedures. Male C57BL/6J mice (6-8 weeks old) from Jackson Labs (Bar Harbor, ME, USA"
li2025,adolescent,56,56,5 /uni03BC g/mL for male C57BL/6J mice (8 weeks old). 40 The corticosterone solution was pr
li2025 1,adolescent,42,56,"s  ## 2.1. Animals  Male C57BL/6J mice (6 -8 weeks old, weighing 21 -24 g) were obtained from"
liao2019,adolescent,42,42,"animals and housing  Male Wistar rats (6 weeks old, weight 220 -330 g) were purchased from"
lima da cruz2026,young_adult,45,70,"with a C57BL/6 genetic background, aged postnatal day 45 -70, were used in this study. The decision"
limadacruz2018,adult,,,qualitative: Morphological and Functional Changes in Adult Mice Ventral Dentate Gyrus  Rafael Vitor Lim
liu2023,adolescent,56,56,". Animals  Male  adult  C57BL/6  mice,  aged  8  weeks  (body  weight  20 -25  g, Japan  SLC,"
lu2021,young_adult,30,60,"h light/dark cycle. Both sexes of mice aged 1 -2 months were used. Unless otherwise noted, all"
lu2025,adult,70,98,"/kg, IP), strain (C57BL/6J mice), age (~10-14 weeks old), sexes used (both male and 90 female m"
magee2025,juvenile,28,28,"hange heavy drinking days or abstinence at 4 week or 6 month follow-ups (Rieser et al., 20"
malikowska-racia2023,adult,126,126,cdS/pynHkTByy.  ## Animals  Thirty-six  18-week-old  Sprague  Dawley  male  rats  (Charles
malkova2014,juvenile,21,21,"aline groups. The offspring were weaned at 3 wk of age, and males were caged in groups of two"
maltby2026,young_adult,56,70,"d forced swim test  Male C57BL/6J mice (8-10 weeks old, n = 6-10/group),  sourced from  an  in"
marcherrorsted2020,adolescent,42,56,e curves.  Animals. Male C57BL/6J mice (6 -8 weeks old) obtained from Jackson Laboratories (Ba
marek2018,adult,,,"qualitative: idal cells with slice preparations from adult rats (Aghajanian and Marek, 1997). While mos"
martin2014,not_reported,,,
martin2024,not_reported,,,
marton2019,adolescent,,,qualitative: ion in adulthood after social defeat of adolescent rats: role of social experience and adaptive
mcgriff2025,adolescent,56,56,"ckson  Laboratory (Bar Harbor, ME, USA) at 8 weeks of age and were accli -mated for 1-2 weeks in"
mcqueney2024,not_reported,,,
meinhardt2020,young_adult,60,60,ERIALS AND METHODS  Animals  Ninety-one 2-month-old male and female Wistar rats (from our o
meinhardt2021,adult,,,qualitative: ron-specific genome modification in the adult rat brain ( 51 ). We followed such an appro
meng2025,not_reported,,,
miliano2019,not_reported,,,
mitazaki2020,juvenile,14,16,ibed [19]. Pregnant Sprague-Dawley rats at 14-16 days of gestation were obtained from Japan SL
moghadam2026,young_adult,56,70,"Animals  Male Wistar rats (220-250 g, 8-10 weeks old) were purchased from  the  Neuroscience"
moliner2023,young_adult,70,70,female and male mice that were at least 10 weeks old at the start of experiments for this st
morales-garcia2020,adult,,,"qualitative: by Duque and Spector suggests that, in adult age, preservation of the existing neurons i"
muir2024,not_reported,,,
nardou2023,juvenile,21,21,"i20090.043), between LSD and psilocybin at 3 weeks ( l , normalized: t (34)/uni2009=/uni200"
navarro2015,not_reported,,,
nikolaus2024,adolescent,,,qualitative: e concentrations; (3) usage of adult vs adolescent rats; (4) variation in dosage; (5) variation
nogueira2025,young_adult,56,84,"als  Adult male C57BL6J mice ( n = 66), 8 -12 weeks old, housed under a 12 h light/dark cycle,"
odland2021,adult,119,182,or the experiments (100 total) and were 17 -26 weeks old at the time of testing. The animals wer
odland20211,adult,56,112,"total) were used for the tests and were 8-16 weeks old at the time of testing. After arrival,"
olejníková-ladislavová2024,adult,90,90,"ly naive Wistar male rats (SPF animals, 3month old and obtained from Biotest Inc., Kon ' a"
oliveira-lima2015,adult,90,90,rial and methods  ## 2.1. Animals  Male 3-month-old Swiss EPM-M2 mice (30 -35 g) were obtai
oliveira2023,not_reported,,,
olson2024,adult,84,168,"re and Use Committee. Eight adult male (age 12 -24 weeks) C57BL/6J  (Jackson  Labs,  stock  numb"
oppong-damoah2019,not_reported,,,
ornelas2022,adolescent,45,45,pathways in human brain organoids. (A) 45-dayold brain organoids were treated with vehic
ozols2024,adult,150,150,Stereotaxic surgery was performed in 3.5-5 months old mice under 1-3% isoflurane anesthesia (
pedzich2022,young_adult,56,84,"eceptor KO mice on C57BL/6J background, aged 8 -12 weeks at the time of testing, were group hous"
pedzich20221,young_adult,56,84,"Le GenestSaint-Isle, France). Mice were 8-12 weeks old at the time of experiments and were gro"
pic-taylor2015,not_reported,,,
pogorelov2023,adult,90,240,"## 4.1 Animals  Adult male and female 3 -8 month-old WT and global β Arr1-KO (Kim et al., 20"
pohorala2024,young_adult,56,70,"ue Dawley rats (Charles River, Germany) aged 8 -10 weeks at the time of arrival at the CIMH anim"
popik2019,not_reported,,,
popik2022,not_reported,,,
puigseslloses2024,adolescent,42,56,", Le Genest, France) weighing 30 -35 g (6 -8 weeks old) were used for the behavioral experimen"
qu2023,adolescent,56,56,". Animals  Male  adult  C57BL/6  mice,  aged  8  weeks  (body  weight  20 -25  g, Japan  SLC,"
