study_id,sex_classification,evidence
aboharb2025,both sexes,"gene expression at cellular resolution followed by machine learning. We tested male and female mice with a panel of drugs, including psilocybin, ketamine, 5-MeO-DMT, 6/uniFB0"
adams2022,male only,"ects  A total of 22 adult (PND 90 -120) male Long Evans rats (Charles River Laboratories,"
afrooghe2025,male only,(broad match: 'male' found in text)
agrawal2025,male only,"ee of Charles River Laboratories. Adult male Sprague -Dawley rats (Charles River, 7 -8 weeks"
allen2026,both sexes,M: tagonist M100907 on visual attention in male mice in the continuous performance test. Psy | F: Research Council.  ## Animal husbandry  Female Sprague-Dawley rats (N = 96) aged 6 weeks were
almeida2022,male only,ods  ## 2.1. Animals  Seventy-two adult male Swiss mice (6 -7 weeks-old) were housed in po
alper2018,male only,choice alcohol drinking paradigm. Adult male C57BL/6J mice were exposed to ethanol to de
alper2023,both sexes,nvestigated the effects of psilocybin on voluntary ethanol consumption in adult male and female C57BL/6J mice administered saline or psilocybin intraperitoneally as a single d
alvarenga2014,both sexes,M: rats. One group of sexually experienced male Wistar rats were submitted to a paradoxical sl | F: ore a female. Sexual receptivity in the female rats was established by administering estrad
amodeo2020,both sexes,"M: itial behaviorally disruptive effects.  Male C57BL/6 J mice, 9-10 weeks old, were purcha | F: these results because this was true in female NMRI mice tested during the light cycle. Alt"
anderson2025,male only,"## Materials and Methods  ## Animals  Male Sprague Dawley rats ( Rattus norvegicus ), weig"
ascone2026,both sexes,"models of ASD [80] and the fact that FMRP loss can produce divergent effects in males and females [81], this represents an important limitation. However, a parallel cohort of fe"
bassi2024,both sexes,"M: thods  ## Animals  A total of 110 adult male ICR (CD-1®) mice, 3-4/uni00A0months old, we | F: iopsis caapi and Psychotria viridis) in female Wistar rat. Behav Processes 118:102-110. https"
bazovkina2015,male only,"ero.fitted/one.fitted/two.fitted weeks) male mice of CBA/Lac, C/three.fittedH/He, C/five."
ben-tal2025,male only,# Animals  The study was carried out on male ICR mice (30.0 ± 2.0 g). The animals were h
benvenuti2023,both sexes,"m, psilocybin markedly attenuated resumption of alcohol seeking.  Methods Using male and female msP rats, we tested the effect of psilocybin on home cage voluntary alcohol con"
