study_id,doi,species,strain,psychedelic,n_assays,n_disagreements,n_low_confidence,behav_complexity,env_complexity,rec_duration,behav_complexity_mean,env_complexity_mean,rec_duration_mean
Adams2022,https://doi.org/10.1016/j.mec.2022.e00196,rat,Long-Evans,"psilocybin, norbaeocystin",2,0,3,2.5,0.0,4.09,2.5,0.0,3.41
Almeida2022,https://doi.org/10.1016/j.bbr.2021.113546,mouse,Swiss,Ayahuasca (DMT),2,0,14,3.75,1.36,4.09,3.12,0.68,2.73
Alper2023,10.3389/fphar.2022.1074633,mouse,C57BL/6J,psilocybin,3,0,25,5.0,2.73,6.82,3.75,2.27,5.46
Amodeo2020,10.1016/j.bbr.2020.112861,mouse,C57BL/6 J,"DOI, 25CN-NBOH",2,0,4,3.75,2.73,5.45,3.12,1.36,4.77
Benvenuti2023,https://doi.org/10.1007/s00213-023-06384-w,rat,Marchigian Sardinian alcohol-preferring (msP),Psilocybin,4,0,23,5.0,2.73,8.18,4.06,1.36,5.11
Brockett2024,10.1152/jn.00124.2024,mouse,CBA/CaJ x Thy1-GCaMP6s,psilocybin,2,0,0,3.75,2.73,6.82,3.12,2.73,6.13
Brownstien2024,10.1038/s41380-024-02786-0,mouse,SAPAP3 KO,"psilocybin, psychedelic mushroom extract",3,0,22,2.5,1.36,5.45,2.08,1.36,5.45
Brownstien2024,10.1038/s41380-024-02786-0,mouse,SAPAP3 KO,"psilocybin, psychedelic mushroom extract",4,0,0,5.0,1.36,5.45,2.81,0.68,5.45
Brys2023,10.1038/s42003-023-05093-6,rat,Sprague-Dawley,"LSD, DOI, ketamine, PCP",1,0,6,3.75,0.0,5.45,3.75,0.0,5.45
Buzzelli2022,https://doi.org/10.1007/s00213-022-06286-3,rat,Fmr1-4exon 8,psilocybin,1,0,2,3.75,0.0,2.73,3.75,0.0,2.73
Cameron2019,10.1021/acschemneuro.8b00692,rat,Sprague Dawley,"N,N-Dimethyltryptamine (DMT)",7,0,69,6.25,2.73,6.82,4.29,0.58,3.51
Castro-Nin2024,https://doi.org/10.1007/s00213-024-06572-2,rat,Sprague Dawley,noribogaine,1,0,0,5.0,2.73,6.82,5.0,2.73,6.82
Chen2023,10.3389/fphar.2023.1021729,mouse,C57BL/6,"DOM, mescaline, psilocin, 25CN-NBOH",1,0,2,7.5,1.36,4.09,7.5,1.36,4.09
Conn2024,10.1038/s41380-024-02575-9,rat,Sprague-Dawley,psilocybin,2,0,11,6.25,2.73,12.27,5.0,2.73,10.22
Custodio2023,10.1007/s00213-023-06482-9,mouse,C57BL/6J,"MAL, BOD, DOI",5,0,0,3.75,1.36,8.18,3.0,0.27,5.18
Cyrano2024,10.1007/s43440-024-00679-1,rat,Wistar,DOI,1,0,1,3.75,0.0,2.73,3.75,0.0,2.73
De Gregorio2022,10.1038/s41386-022-01301-9,mouse,C57BL/6N,LSD,7,0,50,5.0,2.73,4.09,2.5,0.97,2.14
de la Fuente Revenga2021,10.1016/j.celrep.2021.109836,mouse,,DOI,7,0,45,3.75,2.73,6.82,2.68,0.58,3.51
Domenico2021,10.1016/j.celrep.2021.109714,rat,Long-Evans,LSD,1,0,3,3.75,1.36,6.82,3.75,1.36,6.82
Du2023,10.1097/CM9.0000000000002647,mouse,C57BL/6J,psilocybin,2,0,15,3.75,2.73,8.18,2.5,1.36,4.77
Duarte-Filho2022,10.1177/02698811221104050,mouse,Swiss male mice,"N,N-dimethyltryptamine (DMT)",4,0,12,2.5,0.0,1.36,1.88,0.0,0.34
Elsila2020,10.3389/fphar.2020.602770,mouse,C57BL/6JRj,"LSD, 25CN-NBOH",2,0,0,5.0,1.36,5.45,3.12,0.68,3.41
Elsila2022,10.1177/02698811221104641,mouse,C57BL/6JRj,LSD,4,0,10,6.25,8.18,9.55,4.69,6.47,8.18
Fadahunsi2022,10.1038/s41398-022-02103-9,mouse,C57BL/6J,psilocybin,13,0,95,5.0,5.45,13.64,3.46,3.67,5.56
Farinha-Ferreira2025,https://doi.org/10.1016/j.neuropharm.2024.110280,mouse,C57BL/6J,psilocybin,4,0,25,2.5,1.36,4.09,2.5,0.34,3.07
Ferri2023,10.1016/j.ejphar.2023.175926,rat,Wistar,"25H-NBOMe, 25H-NBOH",3,0,21,2.5,2.73,4.09,2.08,0.91,3.18
Fisher2024,https://doi.org/10.1038/s41398-024-03103-7,rat,Sprague-Dawley,psilocybin,3,0,19,6.25,2.73,8.18,3.33,1.36,3.63
Floris2024,10.1038/s41380-024-02788-y,rat,Sprague Dawley,psilocybin,3,0,8,5.0,0.0,10.91,2.92,0.0,5.0
Gattuso2025,10.1016/j.neuropharm.2024.110202,mouse,SAPAP3 KO and WT C57BL/6J,Psilocybin,4,0,26,3.75,2.73,8.18,3.12,0.68,6.13
Gattuso2025,https://doi.org/10.1016/j.ejphar.2025.177304,mouse,C57BL/6J,psilocybin,5,0,43,3.75,2.73,8.18,2.5,1.09,4.36
De Gregorio2021,10.1073/pnas.2020705118,mouse,C57BL/6J,LSD,9,0,106,8.75,5.45,2.73,7.5,3.94,2.43
